old,new,7.25
smart,intelligent,7.11
hard,difficult,5.94
happy,cheerful,5.85
hard,easy,5.82
fast,rapid,5.66
happy,glad,5.49
short,long,5.36
stupid,dumb,5.26
weird,strange,4.26
wide,narrow,4.06
bad,awful,3.41
easy,difficult,2.83
bad,terrible,2.31
hard,simple,2.16
smart,dumb,2.1
insane,crazy,2.09
happy,mad,2.07
large,huge,2
hard,tough,1.99
new,fresh,1.98
sharp,dull,1.48
quick,rapid,1.38
dumb,foolish,1.34
wonderful,terrific,1.17
strange,odd,1.16
happy,angry,1.15
narrow,broad,1
simple,easy,0.96
old,fresh,0.91
apparent,obvious,0.89
inexpensive,cheap,0.79
nice,generous,0.77
weird,normal,0.76
weird,odd,0.75
bad,immoral,0.74
sad,funny,0.74
wonderful,great,0.7
guilty,ashamed,0.69
beautiful,wonderful,0.68
confident,sure,0.68
dumb,dense,0.68
large,big,0.68
nice,cruel,0.49
impatient,anxious,0.47
big,broad,0.47
strong,proud,0.42
unnecessary,necessary,0.41
restless,young,0.41
dumb,intelligent,0.37
bad,great,0.35
difficult,simple,0.34
necessary,important,0.34
bad,terrific,0.28
mad,glad,0.28
honest,guilty,0.27
easy,tough,0.27
easy,flexible,0.27
certain,sure,0.23
essential,necessary,0.21
different,normal,0.21
sly,clever,0.21
crucial,important,0.21
harsh,cruel,0.21
childish,foolish,0.21
scarce,rare,0.21
friendly,generous,0.21
fragile,frigid,0.21
long,narrow,0.21
big,heavy,0.21
rough,frigid,0.21
bizarre,strange,0.2
illegal,immoral,0.2
bad,guilty,0.2
modern,ancient,0.2
new,ancient,0.2
dull,funny,0.2
happy,young,0.2
easy,big,0.2
great,awful,0.15
tiny,huge,0.15
polite,proper,0.14
modest,ashamed,0.14
exotic,rare,0.14
dumb,clever,0.14
delightful,wonderful,0.14
noticeable,obvious,0.14
afraid,anxious,0.14
formal,proper,0.14
dreary,dull,0.14
delightful,cheerful,0.14
unhappy,mad,0.14
sad,terrible,0.14
sick,crazy,0.14
violent,angry,0.14
laden,heavy,0.14
dirty,cheap,0.14
elastic,flexible,0.14
hard,dense,0.14
recent,new,0.13
bold,proud,0.12
sly,strange,0
strange,sly,0
dumb,rare,0
sly,tough,0
terrific,mad,0
modest,flexible,0
fresh,wide,0
huge,dumb,0
large,flexible,0
dirty,narrow,0
wife,husband,8.85
book,text,8.81
groom,bride,8.65
night,day,8.19
south,north,7.72
plane,airport,7.57
uncle,aunt,7.46
horse,mare,7.4
bottom,top,6.96
friend,buddy,6.87
student,pupil,6.83
world,globe,6.79
leg,arm,6.73
plane,jet,6.62
woman,man,6.6
horse,colt,6.54
actress,actor,5.78
teacher,instructor,5.66
movie,film,5.43
bird,hawk,5.29
word,dictionary,5.2
money,salary,5.16
dog,cat,5.13
area,region,5.12
navy,army,5
book,literature,4.86
clothes,closet,4.83
sunset,sunrise,4.8
child,adult,4.59
cow,cattle,4.39
book,story,4.19
winter,summer,3.96
taxi,cab,3.86
tree,maple,3.67
bed,bedroom,3.53
roof,ceiling,3.5
disease,infection,3.45
arm,shoulder,3.35
sheep,lamb,3.33
lady,gentleman,3.29
boat,anchor,3.25
priest,monk,3.23
toe,finger,3.22
river,stream,3.21
anger,fury,3.06
date,calendar,3.05
sea,ocean,2.91
second,minute,2.84
hand,thumb,2.84
wood,log,2.79
mud,dirt,2.76
hallway,corridor,2.7
way,manner,2.56
mouse,cat,2.56
cop,sheriff,2.54
death,burial,2.46
music,melody,2.43
beer,alcohol,2.4
mouth,lip,2.28
storm,hurricane,2.27
tax,income,2.25
flower,violet,2.22
paper,cardboard,2.2
floor,ceiling,2.18
beach,seashore,2.15
rod,curtain,2.13
hound,fox,2.13
street,alley,2.07
boat,deck,2.04
car,horn,2.04
friend,guest,1.97
employer,employee,1.96
hand,wrist,1.96
ball,cannon,1.96
alcohol,brandy,1.93
victory,triumph,1.9
telephone,booth,1.88
door,doorway,1.88
motel,inn,1.86
clothes,cloth,1.82
steak,meat,1.81
nail,thumb,1.76
band,orchestra,1.75
book,bible,1.74
business,industry,1.73
winter,season,1.71
decade,century,1.64
alcohol,gin,1.64
hat,coat,1.62
window,door,1.56
arm,wrist,1.55
house,apartment,1.54
glass,crystal,1.52
wine,brandy,1.52
creator,maker,1.51
dinner,breakfast,1.49
arm,muscle,1.45
bubble,suds,1.42
bread,flour,1.42
death,tragedy,1.41
absence,presence,1.38
gun,cannon,1.35
grass,blade,1.34
ball,basket,1.33
hose,garden,1.32
boy,kid,1.28
church,choir,1.27
clothes,drawer,1.27
tower,bell,1.22
father,parent,1.19
school,grade,1.18
parent,adult,1.15
bar,jail,1.15
car,highway,1.15
dictionary,definition,1.14
door,cellar,1.13
army,legion,1.11
metal,aluminum,1.1
chair,bench,1.09
cloud,fog,1.05
boy,son,1.03
water,ice,1.03
bed,blanket,1.02
attorney,lawyer,1.01
area,zone,0.97
business,company,0.97
clothes,fabric,0.96
sweater,jacket,0.96
money,capital,0.95
hand,foot,0.95
alcohol,cocktail,0.93
yard,inch,0.93
molecule,atom,0.92
lens,camera,0.9
meal,dinner,0.88
eye,tear,0.88
god,devil,0.87
loop,belt,0.87
rat,mouse,0.87
motor,engine,0.87
car,cab,0.87
cat,lion,0.85
size,magnitude,0.84
reality,fantasy,0.83
door,gate,0.83
cat,pet,0.82
tin,aluminum,0.82
bone,jaw,0.82
cereal,wheat,0.81
house,key,0.8
blood,flesh,0.79
