wife,husband,2.3,N
book,text,6.35,N
groom,bride,3.17,N
night,day,1.88,N
south,north,2.2,N
plane,airport,3.65,N
uncle,aunt,5.5,N
horse,mare,8.33,N
bottom,top,0.7,N
friend,buddy,8.78,N
student,pupil,9.35,N
world,globe,6.67,N
leg,arm,2.88,N
plane,jet,8.1,N
woman,man,3.33,N
horse,colt,7.07,N
actress,actor,7.12,N
teacher,instructor,9.25,N
movie,film,8.87,N
bird,hawk,7.85,N
word,dictionary,3.68,N
money,salary,7.88,N
dog,cat,1.75,N
area,region,9.47,N
navy,army,6.43,N
book,literature,7.53,N
clothes,closet,3.27,N
sunset,sunrise,2.47,N
child,adult,2.98,N
cow,cattle,9.52,N
book,story,5.63,N
winter,summer,2.38,N
taxi,cab,9.2,N
tree,maple,5.53,N
bed,bedroom,3.4,N
roof,ceiling,7.58,N
disease,infection,7.15,N
arm,shoulder,4.85,N
sheep,lamb,8.42,N
lady,gentleman,3.42,N
boat,anchor,2.25,N
priest,monk,6.28,N
toe,finger,4.68,N
river,stream,7.3,N
anger,fury,8.73,N
date,calendar,4.42,N
sea,ocean,8.27,N
second,minute,4.62,N
hand,thumb,3.88,N
wood,log,7.3,N
mud,dirt,7.32,N
hallway,corridor,9.28,N
way,manner,7.62,N
mouse,cat,1.12,N
cop,sheriff,9.05,N
death,burial,4.93,N
music,melody,6.98,N
beer,alcohol,7.5,N
mouth,lip,7.1,N
storm,hurricane,6.38,N
tax,income,2.38,N
flower,violet,6.95,N
paper,cardboard,5.38,N
floor,ceiling,1.73,N
beach,seashore,8.33,N
rod,curtain,3.03,N
hound,fox,2.38,N
street,alley,5.48,N
boat,deck,4.28,N
car,horn,2.57,N
friend,guest,4.25,N
employer,employee,3.65,N
hand,wrist,3.97,N
ball,cannon,2.58,N
alcohol,brandy,6.98,N
victory,triumph,8.98,N
telephone,booth,3.63,N
door,doorway,5.4,N
motel,inn,8.17,N
clothes,cloth,5.47,N
steak,meat,7.47,N
nail,thumb,3.55,N
band,orchestra,7.08,N
book,bible,5,N
business,industry,7.02,N
winter,season,6.27,N
decade,century,3.48,N
alcohol,gin,8.65,N
hat,coat,2.67,N
window,door,3.33,N
arm,wrist,3.57,N
house,apartment,5.8,N
glass,crystal,6.27,N
wine,brandy,5.15,N
creator,maker,9.62,N
dinner,breakfast,3.33,N
arm,muscle,3.72,N
bubble,suds,8.57,N
bread,flour,3.33,N
death,tragedy,5.8,N
absence,presence,0.4,N
gun,cannon,5.68,N
grass,blade,4.57,N
ball,basket,1.67,N
hose,garden,1.67,N
boy,kid,7.5,N
church,choir,2.95,N
clothes,drawer,3.02,N
tower,bell,1.9,N
