Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
new-ancient,0,0.21448029366,0.194679707289,0.0736045613885,-0.305289626122,0.0263717488272
shrink-grow,0,0.691842973232,0.0319453534153,0.464029935839,0.0911263281778,0.166435793042
dirty-narrow,0.029258098,0.34265791432,-0.000955234281719,-0.0580629855394,-0.236401750827,-0.213872119784
hole-agreement,0.029258098,0.10636344552,-0.202718067007,-0.0178594823396,-0.129622950599,0.192509007007
island-task,0.029258098,0.186502553641,0.0265681898215,0.0121199891198,-0.0624243393631,-0.131255447119
chapter-tail,0.029258098,0.0769106820226,0.0939884092801,0.190566849146,-0.00362528509648,0.250481277704
gun-fur,0.029258098,0.178099900484,-0.0501722991467,0.0476899688172,-0.0931970775127,0.0733128339052
cliff-tail,0.029258098,0.291912406683,-0.0133585043763,0.169261182503,-0.0865565888021,0.180529907346
ankle-window,0.029258098,0.325314283371,-0.203437653389,0.0841778417932,0.0781385749578,-0.0339171273361
princess-island,0.029258098,0.223187121965,-0.351385193898,0.0301971825447,-0.0784927662024,0.264290688718
container-mouse,0.029258098,0.265830129385,0.433229651048,0.375290505605,0.0271188986819,0.00494119618088
bad-great,0.05015674,0.48356422684,0.11079210788,0.335511982441,-0.109513035984,0.213623955846
terrific-mad,0.071055381,0.459433083602,-0.172313436866,0.120137513264,-0.237165689468,0.16229487511
fresh-wide,0.071055381,0.297096699476,-0.147891986119,0.174612492323,0.0646975004493,0.172126109727
absence-presence,0.071055381,0.642870226077,0.203812187456,0.50343856277,0.300870448351,0.113486938865
belief-flower,0.071055381,0.15139652474,0.151836961508,0.321892440319,0.357671814242,0.0290651787072
endurance-band,0.071055381,0.104394755029,-0.3938601017,-0.135393611467,0.252707153559,-0.200014692546
flower-endurance,0.071055381,0.0994663387537,-0.274704813957,-0.0949198660207,-0.188230216503,0.202131569386
cent-size,0.071055381,0.209230688764,0.0804696578067,0.247056722641,0.105368545971,0.107705949706
liquor-century,0.071055381,0.160040487056,-0.141891270876,-0.0972682610154,0.00236317450412,-0.197940856218
hymn-straw,0.071055381,0.145192318868,0.0694679212253,0.126572355628,0.178088396788,-0.135144994872
dentist-colonel,0.071055381,0.338489572822,-0.191900741571,0.112012319267,0.035755353317,0.0220235053627
wife-straw,0.071055381,0.0878298782009,-0.215406134725,0.0342084616423,0.249725878239,-0.0642537214907
rice-boy,0.071055381,0.17925465107,-0.228670269251,0.151507437229,-0.0884202197194,0.421296238899
dollar-people,0.071055381,0.201351058564,0.00905341748148,0.0891038754048,0.0630037673118,-0.104418702424
bath-balloon,0.071055381,0.336360653422,-0.118457279709,0.256325588007,0.104596674442,0.261459560568
stomach-bedroom,0.071055381,0.386092387801,0.278969036279,0.36873259358,0.135942586419,-0.20631497838
bicycle-bedroom,0.071055381,0.289904879922,0.013517564037,0.10489293068,-0.0707946983453,-0.0259752177283
log-bath,0.071055381,0.173349778256,0.0619754977212,0.295372175895,0.325754889936,0.113877207041
ignore-explore,0.071055381,0.568542778492,-0.0840964987874,0.157663986087,-0.0624265111983,-0.132981657982
remind-sell,0.071055381,0.377556174994,0.150669583718,0.120264150202,-0.153680765848,-0.151449501514
dumb-rare,0.104493208,0.241798282647,0.0352862519367,0.00608197599649,-0.323628057458,0.057765607073
huge-dumb,0.104493208,0.202906325459,-0.0289774608883,0.000864282250404,0.0982067270998,-0.270746575042
large-flexible,0.104493208,0.502658158699,0.280265003443,0.431513249874,0.278227478266,-0.0917372832738
chapter-choice,0.104493208,0.192571848631,-0.114066109061,0.162183577548,0.00505631789565,0.25591224432
trick-size,0.104493208,0.184941299565,-0.0972317755222,0.0138680301607,-0.0607726166221,0.00149234756827
condition-boy,0.104493208,0.276737391949,0.0779982954264,0.205598473549,-0.178060501814,0.163365572691
doctor-temper,0.104493208,0.307561159134,0.110887758434,0.292421716,0.113921135664,0.114526465535
presence-door,0.104493208,0.164610306299,0.0669849360603,0.172113081469,-0.0233978950442,0.21307900548
mouse-management,0.104493208,0.15320803225,0.412832354734,0.243154123017,0.0325919388125,-0.113205789817
task-highway,0.104493208,0.150754207418,-0.060952231288,0.0658783089068,-0.172584652901,0.192749049827
night-chapter,0.104493208,0.283626019955,-0.0268504433334,0.245149135011,0.22176361084,0.0480106696486
gun-trick,0.104493208,0.38947577602,0.112716123462,0.348988225996,0.0078943092376,0.25387573196
bath-wife,0.104493208,0.164622083306,-0.0405781591283,-0.0669996331334,-0.0859529823065,-0.157343575796
people-cent,0.104493208,0.162959555564,0.062093183374,0.245696857315,0.144814216782,0.149720379694
camera-president,0.104493208,0.0978132693656,-0.456711888313,-0.243717997892,-0.0154959894717,-0.101421652819
deck-mouse,0.104493208,0.279158055782,0.0953642484763,0.240038559435,0.0471064997975,0.107080623507
people-balloon,0.104493208,0.164422432448,0.137702450156,0.225787280547,0.0753639936447,0.124526895554
bowl-tail,0.104493208,0.334694564342,0.103659665803,0.133682206273,-0.0585477312534,-0.101590454578
give-steal,0.112852665,0.562337510307,-0.038495692492,0.350111395121,-0.0630397573113,0.172134403078
easy-tough,0.121212121,0.506563693676,0.128966867924,0.314232110977,0.110367490969,-0.197297886014
smart-dumb,0.133751306,0.525378258549,-0.189437680177,0.222903251648,-0.100857858462,0.22818313409
dull-funny,0.133751306,0.643529555587,-0.0301747173071,0.322562247515,-0.0186281122195,0.0550304287636
spend-save,0.133751306,0.499066472165,0.0644671133478,0.277923123713,-0.203075719063,0.134680730777
easy-difficult,0.146290491,0.763998255968,0.394298791885,0.525094330311,-0.15078898673,-0.169347077608
sly-tough,0.146290491,0.430518712432,0.0362449847162,0.36296706575,0.0672414864446,0.303256303072
bath-trick,0.146290491,0.229079770556,0.055671479146,0.245209261489,0.123345151544,0.12713620799
cent-wife,0.146290491,0.137674175958,-0.108133210727,0.0852443426847,-0.0680697824401,0.184561665926
course-stomach,0.146290491,0.222552074346,-0.214316368103,0.00277407467365,-0.257151589224,0.253897696733
woman-fur,0.146290491,0.287683921318,-0.220612454937,-0.013781473862,0.0471658362249,-0.141676692167
apple-sunshine,0.146290491,0.279350506029,-0.0934370458126,0.0360624268651,0.0566896084958,-0.162239223719
sharp-dull,0.154649948,0.631559506841,-0.255607396364,0.159245297313,0.109763815091,-0.165836284508
tiny-huge,0.154649948,0.59009873867,-0.109952396748,0.158915400505,-0.280668692629,0.0909480303526
unnecessary-necessary,0.167189133,0.709617853165,0.151163351397,0.463609637999,0.31266733257,-0.157113000751
forget-retain,0.167189133,0.372282825248,-0.0232611484826,0.151852840296,0.0648188963532,-0.118862032524
create-destroy,0.167189133,0.522444367409,0.00309958308935,0.250929653645,-0.12328517437,0.114332802594
bad-terrific,0.175548589,0.641260423735,0.145470350981,0.501414298843,0.262347952267,0.0491728447378
nice-cruel,0.183908046,0.415289694982,0.20866873614,0.312431335449,0.14387864732,-0.142361634514
hymn-conquest,0.188087774,0.192214488983,-0.0112548849735,0.281110942364,0.34705516696,0.0889533215137
fraternity-door,0.188087774,0.149552688003,0.243322417936,0.239315941293,0.0151936710395,0.0878986567259
task-woman,0.188087774,0.248268559472,0.260595350195,0.194990671278,-0.125165209154,-0.0383123480268
task-straw,0.188087774,0.212732893987,0.00901496876031,0.093348790008,0.0536397174001,-0.0970043225291
