Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
joule-spacecraft,0,0.367301285267,-0.104980744421,0.169034416618,0.212587952614,-0.139941841364
promised_land-baku,0,0.129060812052,0.0806911832918,0.235177695751,0.145093270844,0.11621645093
car-bicycle,0,0.69122253008,0.164121180773,0.2955427942,-0.0436118084855,-0.302598267794
polyhedron-actor,0,0.1161830271,-0.211625333026,-0.0204037632793,0.0971970003482,-0.0412265422181
multiple_sclerosis-ms,0,0.186232194304,0.113307595253,0.249228805304,0.070513702929,0.230585202575
fault-system,0,0.32176977396,-0.304202735424,-0.104654899517,-0.100104495883,-0.113950282335
weapon-helmet,0,0.559161186218,-0.0817352980375,0.278101831675,0.240047037601,-0.154890358448
screenwriter-television,0,0.516166865826,0.0347276031971,0.211220706847,-0.105179041624,-0.0761843919754
united_nations-ban_ki_moon,0,0.650984525681,-0.0297859497368,0.299384206533,0.0826017186046,-0.133961677551
si_o_seh_pol-mathematical_bridge,0,0.0,0.0,0.0,0.0,0.0
basilica-mosaic,0,0.502643912873,-0.173881660335,0.242998852491,0.121557004955,0.0586857234648
watercolor_painting-brush,0,0.423646415689,-0.00414146321365,0.344179382573,0.156778330015,0.134813003827
democracy-monarchy,0,0.602801597285,-0.153003618121,0.19363296032,-0.124069802408,0.0812608450651
gauss-scientist,0,0.28649944067,0.151424959302,0.37982689618,0.147488549352,0.321028858423
tuberculosis-led,0,0.133804902434,-0.208690583706,-0.185444459319,0.0166892595589,-0.313838750124
self_driving_car-autonomous_car,0,0.0,0.0,0.0,0.0,0.0
apocalypse-fire,0,0.316049724817,-0.386879324913,0.0432390063392,0.214175462723,-0.0571717508137
speed-post,0,0.210442632437,0.250961601734,0.353899410599,0.117011420429,0.182586610317
playstation-wii,0,0.93524401994,-0.0786995495916,0.459292948246,-0.017928910579,0.132251053184
laptop-notebook,0,0.685856800428,0.138373015717,0.228247943133,-0.105754652276,-0.334713727236
harry_potter-wizard,0,0.534634526416,0.435948252678,0.549303472042,0.0846370953754,0.135519519448
snowboard-skiing,0,0.75693611842,0.153761464806,0.411897659302,-0.0845340242704,-0.045985719083
pointer-slide,0,0.454351547101,-0.0576960816979,0.173344910145,0.233394296957,-0.280453549651
sensor-radiator,0,0.563181340694,-0.0282544642687,0.350771248341,0.211773663759,0.0163442716002
hit-frame,0,0.199308365583,-0.0367236211896,0.06970698716,-0.0873369723558,0.0540872178972
theory-hypothesis,0,0.720725340886,-0.562444984913,0.13920986483,0.320354301951,-0.205151215196
wall_street-financial_market,0,0.406619066395,-0.122324391881,0.0898632854223,0.109857640258,-0.230072466144
darwin-evolution,0,0.390716612339,0.118762761354,0.28568097949,0.187719479203,-0.00526328105479
actor-actress,0,0.900330793818,-0.0666879604273,0.448826164007,0.0475207492709,0.0396012863754
film-theatre,0,0.470554530621,-0.171224002765,0.0332806987036,-0.28744723126,0.05514457537
national_anthem-patriotism,0,0.320089846849,0.132376023077,0.0120586305857,-0.218020258428,-0.213555842638
screen-monitor,0,0.453534007072,-0.0603114849515,0.0831542958709,-0.0365906230563,-0.198974445462
dairy-honey,0,0.58278331654,-0.103413209319,0.284108906984,0.114057719707,-0.0105006216765
mount_everest-chomolungma,0,0.655567765236,-0.126767590642,0.344688415527,0.0417151786387,0.108570829034
tug_of_war-snakes_and_ladders,0,0.0,0.0,0.0,0.0,0.0
pesticide-pest,0,0.561108343469,-0.0631729960442,0.291475015371,0.000243524060425,0.12404152751
policeman-politician,0,0.403396874666,-0.199079304934,0.0741204321384,0.232268631458,-0.301960885525
neuropsychology-parapsychology,0,0.694136321545,0.0427475299089,0.288611322641,-0.0446260310709,-0.154513174564
battery-energy,0,0.361662268639,0.0655452307409,0.228691889566,-0.0535098090768,0.147001159549
legion_of_honour-stationery,0,0.0,0.0,0.0,0.0,0.0
spider_man-street,0,0.176013105987,0.0327594876289,0.182482161226,-0.0949499160051,0.250907599818
peninsula-island,0,0.78984233262,0.0672262310982,0.288664686004,-0.37771941689,-0.00435910653323
equator-ecuador,0,0.292333215475,0.0262844804674,-0.0061022195877,-0.418734312057,0.0885808542371
chart-graph,0,0.292595028877,0.275543537671,0.341138958931,0.145068732492,0.092568911612
simulation-robotics,0,0.702600359917,0.0575344081203,0.419949918985,0.163777436164,-0.0602013988913
nike-adidas,0,0.851740241051,-0.113647520542,0.430919762309,0.0877141878009,0.164174556732
society-culture,0,0.637610240267,0.246048063511,0.509028943007,0.0641074029675,0.138552589589
strategy_game-strategy,0,0.371636763616,0.171320855618,0.253557846162,0.0274370578006,-0.0601366572082
church-cathedral,0,0.825567175482,-0.0147778866308,0.504761875243,0.254075244312,0.0758211210859
translator-foreigner,0,0.20856743804,0.188434317708,0.279579268669,0.10105766356,0.114631249883
biotope-biology,0,0.287954407212,-0.147042411213,0.109119482338,-0.0992394834757,0.180508660765
magma-volcano,0,0.619442142215,-0.0506512164293,0.227138576166,-0.180837839842,0.0788605017149
brainstorming-telescope,0,0.211316719651,0.0368352181813,0.127842530608,0.0694416504766,-0.049442384392
level-score,0,0.329566240311,0.29984202981,0.375213742256,0.06467859447,0.0596619099379
penny-bargain,0,0.476337401649,0.0251664407551,0.0337453877178,-0.345901370049,-0.100017262996
political_party-association,0,0.285611659288,0.0209244042635,0.0488602221012,-0.0768673121929,-0.129968136549
tsunami-sea,0,0.369927674532,0.281589150429,0.4979063573,0.265472024679,0.364001601934
ostrich-orchard,0,0.329265584306,-0.280530959368,0.0269185882062,0.0901431292295,-0.0893099510258
cinnamon-candy,0,0.627434052672,0.0659901539081,0.252683833401,-0.147107654638,-0.0867763511405
broom-dust,0,0.370273351669,0.0725443810225,0.187101706862,-0.0597698912024,-0.0518638566136
galaxy-astronomer,0,0.246701255441,-0.103409901261,0.0150549420747,0.0240573324263,-0.134688526392
juice-milkshake,0,0.705242318227,-0.129901565904,0.161503936469,-0.11818218895,-0.172280415893
window_blind-curtain,0,0.0,0.0,0.0,0.0,0.0
criminal-offender,0,0.626218795776,-0.0380377210677,0.247622400522,-0.244066998363,0.128883928061
pancreatic_cancer-chemotherapy,0,0.669883370399,-0.100286899524,0.205377653241,-0.184712573886,-0.00165189626228
past-antecedent,0,0.295618372894,-0.00613348931074,0.222865968943,0.0893792659044,0.0739495947331
united_nations-european_parliament,0,0.467052221298,-0.0426437035203,0.239712342007,0.210079565644,-0.128790587187
song-performer,0,0.438807457685,-0.110193321384,0.18917818005,0.0943469852209,-0.0208479625466
gun-notebook,0,0.328133881092,-0.184512444197,0.15137580625,-0.146076363793,0.290828198195
acetylcholine-iris,0,0.169648299259,-0.245521709323,-0.0500109627856,0.109584363152,-0.143773674965
alphabet-pen,0,0.404789686203,-0.104481860995,0.137575374553,0.0382231287658,-0.0451913550496
chorus-singer,0,0.459354279003,-0.360665172338,-0.176845222712,-0.0719491839409,-0.366236172094
wood-blanket,0,0.472266614437,0.0950447916985,0.24810931064,-0.0270782666896,-0.0997742146523
soldier-peace,0,0.285429166879,0.2170846274,0.38223746419,0.466881006956,0.043848514947
english-american,0,0.536312580109,0.0418942074117,0.260642557068,-0.180301826018,0.14925378561
lizard-crocodile,0,0.833703627211,-0.107536574606,0.417720228434,0.0133746936917,0.106935237098
money-cash,0,0.816325247288,-0.110172584653,0.299166578005,-0.0271409600973,-0.0881746858358
paul_the_octopus-octopus,0,0.0,0.0,0.0,0.0,0.0
calendar-holiday,0,0.500803172588,0.449896842241,0.32388069176,-0.213254660368,-0.286396861076
base-chemical_substance,0,0.231820553541,-0.0921646301648,0.141976848245,0.230458452133,-0.0769721326861
government-lizard,0,0.0290001255572,-0.0296442842059,0.0715519785881,0.20683056577,-0.0771458670497
jpy-money_laundering,0,0.24819932878,0.032635923475,0.0534884253733,-0.135058194399,-0.0389107204974
deepmind-google_deepmind,0,0.0,0.0,0.0,0.0,0.0
chess-check,0,0.293912070627,-0.288466683948,0.0610399655998,-0.144442358282,0.243059261392
sonnet-beauty,0,0.373602420092,0.115974768458,0.216061634783,-0.109719052911,0.0348289257186
