,Wordpair,GoldSimilarity,WW,CC,BB,WC,CW,predicted
0,joule-spacecraft,0,0.367301285267,-0.104980744421,0.169034416618,0.212587952614,-0.139941841364,1.22046486189
1,promised_land-baku,0,0.129060812052,0.0806911832918,0.235177695751,0.145093270844,0.11621645093,0.830358203508
2,car-bicycle,0,0.69122253008,0.164121180773,0.2955427942,-0.0436118084855,-0.302598267794,1.80690479961
3,polyhedron-actor,0,0.1161830271,-0.211625333026,-0.0204037632793,0.0971970003482,-0.0412265422181,0.799283743684
4,multiple_sclerosis-ms,0,0.186232194304,0.113307595253,0.249228805304,0.070513702929,0.230585202575,0.915026499477
5,fault-system,0,0.32176977396,-0.304202735424,-0.104654899517,-0.100104495883,-0.113950282335,1.14861368932
6,weapon-helmet,0,0.559161186218,-0.0817352980375,0.278101831675,0.240047037601,-0.154890358448,1.53869949659
7,screenwriter-television,0,0.516166865826,0.0347276031971,0.211220706847,-0.105179041624,-0.0761843919754,1.50016136984
8,united_nations-ban_ki_moon,0,0.650984525681,-0.0297859497368,0.299384206533,0.0826017186046,-0.133961677551,1.70801805738
9,si_o_seh_pol-mathematical_bridge,0,0.0,0.0,0.0,0.0,0.0,0.623514989443
10,basilica-mosaic,0,0.502643912873,-0.173881660335,0.242998852491,0.121557004955,0.0586857234648,1.43691927915
11,watercolor_painting-brush,0,0.423646415689,-0.00414146321365,0.344179382573,0.156778330015,0.134813003827,1.31114313846
12,democracy-monarchy,0,0.602801597285,-0.153003618121,0.19363296032,-0.124069802408,0.0812608450651,1.61936550069
13,gauss-scientist,0,0.28649944067,0.151424959302,0.37982689618,0.147488549352,0.321028858423,1.07069990045
14,tuberculosis-led,0,0.133804902434,-0.208690583706,-0.185444459319,0.0166892595589,-0.313838750124,0.843140117616
15,self_driving_car-autonomous_car,0,0.0,0.0,0.0,0.0,0.0,0.623514989443
16,apocalypse-fire,0,0.316049724817,-0.386879324913,0.0432390063392,0.214175462723,-0.0571717508137,1.11482760307
17,speed-post,0,0.210442632437,0.250961601734,0.353899410599,0.117011420429,0.182586610317,0.968792786371
18,playstation-wii,0,0.93524401994,-0.0786995495916,0.459292948246,-0.017928910579,0.132251053184,2.16463517571
19,laptop-notebook,0,0.685856800428,0.138373015717,0.228247943133,-0.105754652276,-0.334713727236,1.80006566514
20,harry_potter-wizard,0,0.534634526416,0.435948252678,0.549303472042,0.0846370953754,0.135519519448,1.51792222383
21,snowboard-skiing,0,0.75693611842,0.153761464806,0.411897659302,-0.0845340242704,-0.045985719083,1.90450829283
22,pointer-slide,0,0.454351547101,-0.0576960816979,0.173344910145,0.233394296957,-0.280453549651,1.37085497435
23,sensor-radiator,0,0.563181340694,-0.0282544642687,0.350771248341,0.211773663759,0.0163442716002,1.53747510724
24,hit-frame,0,0.199308365583,-0.0367236211896,0.06970698716,-0.0873369723558,0.0540872178972,0.957655772947
25,theory-hypothesis,0,0.720725340886,-0.562444984913,0.13920986483,0.320354301951,-0.205151215196,1.77658228904
26,wall_street-financial_market,0,0.406619066395,-0.122324391881,0.0898632854223,0.109857640258,-0.230072466144,1.29569703446
27,darwin-evolution,0,0.390716612339,0.118762761354,0.28568097949,0.187719479203,-0.00526328105479,1.25402383366
28,actor-actress,0,0.900330793818,-0.0666879604273,0.448826164007,0.0475207492709,0.0396012863754,2.11019560093
29,film-theatre,0,0.470554530621,-0.171224002765,0.0332806987036,-0.28744723126,0.05514457537,1.41149098388
30,national_anthem-patriotism,0,0.320089846849,0.132376023077,0.0120586305857,-0.218020258428,-0.213555842638,1.18490617452
31,screen-monitor,0,0.453534007072,-0.0603114849515,0.0831542958709,-0.0365906230563,-0.198974445462,1.38443967179
32,dairy-honey,0,0.58278331654,-0.103413209319,0.284108906984,0.114057719707,-0.0105006216765,1.57838421043
33,mount_everest-chomolungma,0,0.655567765236,-0.126767590642,0.344688415527,0.0417151786387,0.108570829034,1.70166745851
34,tug_of_war-snakes_and_ladders,0,0.0,0.0,0.0,0.0,0.0,0.623514989443
35,pesticide-pest,0,0.561108343469,-0.0631729960442,0.291475015371,0.000243524060425,0.12404152751,1.54396556275
36,policeman-politician,0,0.403396874666,-0.199079304934,0.0741204321384,0.232268631458,-0.301960885525,1.28041365361
37,neuropsychology-parapsychology,0,0.694136321545,0.0427475299089,0.288611322641,-0.0446260310709,-0.154513174564,1.79397674877
38,battery-energy,0,0.361662268639,0.0655452307409,0.228691889566,-0.0535098090768,0.147001159549,1.21933603294
39,legion_of_honour-stationery,0,0.0,0.0,0.0,0.0,0.0,0.623514989443
40,spider_man-street,0,0.176013105987,0.0327594876289,0.182482161226,-0.0949499160051,0.250907599818,0.915693637354
41,peninsula-island,0,0.78984233262,0.0672262310982,0.288664686004,-0.37771941689,-0.00435910653323,1.97793750266
42,equator-ecuador,0,0.292333215475,0.0262844804674,-0.0061022195877,-0.418734312057,0.0885808542371,1.1337759888
