,Wordpair,GoldSimilarity,WW,CC,BB,WC,CW,predicted
0,joule-spacecraft,0,0.367301285267,-0.104980736971,0.169034431519,0.212587952614,-0.139941841364,3.63555908155
1,promised_land-baku,0,0.129060812052,0.0806911832918,0.235177710652,0.145093255943,0.11621645093,3.5101006997
2,car-bicycle,0,0.69122253008,0.164121180773,0.2955427942,-0.0436118084855,-0.302598267794,4.39092063675
3,polyhedron-actor,0,0.1161830271,-0.211625333026,-0.0204037539661,0.0971969928976,-0.0412265384928,2.4232111771
4,multiple_sclerosis-ms,0,0.186232194304,0.113307595253,0.249228805304,0.0705137103796,0.230585202575,3.30029644529
5,fault-system,0,0.32176977396,-0.304202735424,-0.104654892066,-0.100104503334,-0.113950289786,1.90421538394
6,weapon-helmet,0,0.559161186218,-0.0817352980375,0.278101831675,0.240047037601,-0.154890358448,4.18713511891
7,screenwriter-television,0,0.516166865826,0.0347276031971,0.211220706847,-0.105179041624,-0.0761843919754,3.44901932663
8,united_nations-ban_ki_moon,0,0.650984525681,-0.0297859460115,0.299384206533,0.0826017260551,-0.133961677551,4.10415999982
9,si_o_seh_pol-mathematical_bridge,0,0.0,0.0,0.0,0.0,0.0,2.47564934833
10,basilica-mosaic,0,0.502643912873,-0.173881675236,0.242998852491,0.121557004955,0.0586857309154,3.44726856699
11,watercolor_painting-brush,0,0.423646415689,-0.00414146321365,0.344179352771,0.156778330015,0.134813003827,3.90763853763
12,democracy-monarchy,0,0.602801597285,-0.15300360322,0.193632945418,-0.124069802408,0.0812608450651,2.93187318941
13,gauss-scientist,0,0.28649944067,0.151424959302,0.379826866378,0.147488549352,0.321028858423,3.81786774012
14,tuberculosis-led,0,0.133804902434,-0.208690568805,-0.185444444418,0.0166892632842,-0.313838720322,2.11160309172
15,self_driving_car-autonomous_car,0,0.0,0.0,0.0,0.0,0.0,2.47564934833
16,apocalypse-fire,0,0.316049724817,-0.386879324913,0.0432390100645,0.214175462723,-0.0571717508137,2.73991015489
17,speed-post,0,0.210442632437,0.250961601734,0.353899440402,0.117011412978,0.182586625218,3.99434522045
18,playstation-wii,0,0.93524401994,-0.078699542141,0.459292948246,-0.0179289124417,0.132251053184,4.17101198401
19,laptop-notebook,0,0.685856800428,0.138373015717,0.228247928232,-0.105754659727,-0.334713727236,4.06794998698
20,harry_potter-wizard,0,0.534634526416,0.435948252678,0.549303412437,0.0846370953754,0.135519519448,5.027811042
21,snowboard-skiing,0,0.75693611842,0.153761479707,0.411897659302,-0.0845340242704,-0.0459857228083,4.3780321922
22,pointer-slide,0,0.454351547101,-0.0576960891485,0.173344910145,0.233394282056,-0.280453549651,3.96711712814
23,sensor-radiator,0,0.563181340694,-0.0282544717193,0.350771218538,0.211773648858,0.0163442865014,4.19680426847
24,hit-frame,0,0.199308365583,-0.0367236211896,0.0697069797094,-0.0873369723558,0.0540872178972,2.56017165072
25,theory-hypothesis,0,0.720725340886,-0.562444984913,0.139209849929,0.320354331753,-0.205151200294,3.4276978284
26,wall_street-financial_market,0,0.406619066395,-0.12232438443,0.0898632854223,0.109857640258,-0.230072466144,3.32793126661
27,darwin-evolution,0,0.390716612339,0.118762746453,0.28568097949,0.187719479203,-0.00526328384876,4.02483365446
28,actor-actress,0,0.900330793818,-0.0666879604273,0.44882619381,0.0475207492709,0.0396012863754,4.3760682404
29,film-theatre,0,0.470554530621,-0.171223987864,0.0332807136047,-0.28744723126,0.0551445790953,2.08370634484
30,national_anthem-patriotism,0,0.320089846849,0.132376008175,0.012058631517,-0.218020273329,-0.213555842638,2.76902174891
31,screen-monitor,0,0.453534007072,-0.0603114886768,0.0831542884203,-0.036590619331,-0.198974445462,3.12200362531
32,dairy-honey,0,0.58278331654,-0.103413209319,0.284108906984,0.114057719707,-0.0105006216765,3.794507623
33,mount_everest-chomolungma,0,0.655567765236,-0.126767590642,0.344688415527,0.0417151786387,0.108570829034,3.7462932093
34,tug_of_war-snakes_and_ladders,0,0.0,0.0,0.0,0.0,0.0,2.47564934833
35,pesticide-pest,0,0.561108343469,-0.0631729960442,0.291475015371,0.000243521499289,0.12404152751,3.48179319829
36,policeman-politician,0,0.403396874666,-0.199079304934,0.0741204246879,0.232268631458,-0.301960915327,3.47309990942
37,neuropsychology-parapsychology,0,0.694136321545,0.0427475299089,0.288611292839,-0.0446260310709,-0.154513174564,4.00383419728
38,battery-energy,0,0.361662268639,0.0655452381915,0.228691889566,-0.0535098165274,0.147001159549,3.19352699771
39,legion_of_honour-stationery,0,0.0,0.0,0.0,0.0,0.0,2.47564934833
40,spider_man-street,0,0.176013105987,0.0327594988048,0.182482161226,-0.0949499160051,0.250907599818,2.73361553569
41,peninsula-island,0,0.78984233262,0.067226216197,0.288664686004,-0.377719387088,-0.00435911025852,3.3782907821
42,equator-ecuador,0,0.292333215475,0.0262844804674,-0.00610222051902,-0.418734312057,0.0885808542371,1.84085031302
43,chart-graph,0,0.292595028877,0.275543537671,0.341138958931,0.145068747393,0.092568911612,4.14981272742
44,simulation-robotics,0,0.702600359917,0.057534404395,0.419949889183,0.163777451065,-0.0602013988913,4.64677274542
45,nike-adidas,0,0.851740241051,-0.113647527993,0.430919762309,0.0877141878009,0.164174556732,4.07974733543
46,society-culture,0,0.637610240267,0.246048063511,0.509028883403,0.0641074029675,0.138552589589,4.69233632064
47,strategy_game-strategy,0,0.371636763616,0.171320855618,0.253557846162,0.0274370615259,-0.0601366609335,3.84541325318
48,church-cathedral,0,0.825567175482,-0.0147778829055,0.504761875243,0.254075244312,0.0758211210859,4.81758833907
