CueWord,totalGuesses,trueGuessesWW,trueGuesseWC
camel,10,0,0
beak,10,0,0
chicken,10,0,0
pumpkin,10,0,0
plate,10,0,0
bear,10,0,0
vase,10,0,0
cage,10,0,0
bank,10,0,0
school,10,0,0
gift,10,0,0
candy,10,0,0
garage,10,0,0
bone,10,0,0
house,10,0,0
fish,10,0,0
spider,10,0,0
scissors,10,0,0
candle,10,1,0
bee,10,0,0
hammer,10,0,0
barn,10,0,0
flower,10,0,0
postman,10,0,0
bird,10,0,0
knife,10,0,0
witch,10,0,0
santa,10,0,0
table,10,0,0
teacher,10,0,0
cow,10,1,0
restaurant,10,0,0
key,10,0,0
apple,10,0,0
feet,10,0,0
church,10,0,0
boat,10,0,0
sheep,10,0,0
horse,10,0,0
monkey,10,0,0
hospital,10,0,0
leash,10,0,0
frog,10,0,0
beer,10,1,0
drugstore,10,0,0
rabbit,10,0,0
baby,10,0,0
pilot,10,0,0
car,10,0,0
mechanic,10,0,0
cake,10,0,0
baker,10,0,0
pie,10,0,0
honey,10,0,0
airplane,10,1,0
ship,10,0,0
lamp,10,0,0
book,10,0,0
beach,10,0,0
ball,10,0,0
letter,10,0,0
desert,10,0,0
builder,10,0,0
dragon,10,0,0
axe,10,0,0
shoes,10,2,1
paper,10,0,1
milk,10,0,1
granny,10,1,1
woman,10,1,1
hands,10,0,1
river,10,1,1
crown,10,1,1
chef,10,0,1
lion,10,1,1
computer,10,0,1
clown,10,1,1
girl,10,1,1
bag,10,0,1
boy,10,1,1
castle,10,0,1
waitress,10,1,1
cheese,10,1,1
student,10,1,1
pencil,10,1,1
child,10,1,1
fly,10,1,1
tree,10,0,1
bed,10,0,1
circus,10,1,1
mouse,10,1,1
doctor,10,0,1
man,10,1,1
coffee,10,2,3
king,10,2,3
dog,10,1,3
cat,10,2,5
camel,20,0,0
beak,20,0,0
chicken,20,0,0
pumpkin,20,0,0
plate,20,0,0
bear,20,0,0
vase,20,0,0
cage,20,0,0
bank,20,0,0
school,20,0,0
gift,20,0,0
candy,20,0,0
garage,20,0,0
bone,20,0,0
fish,20,0,0
spider,20,0,0
candle,20,1,0
bee,20,0,0
flower,20,0,0
postman,20,0,0
bird,20,0,0
knife,20,0,0
table,20,0,0
key,20,0,0
apple,20,0,0
feet,20,0,0
church,20,0,0
boat,20,0,0
monkey,20,0,0
hospital,20,0,0
leash,20,0,0
frog,20,0,0
drugstore,20,0,0
rabbit,20,0,0
baby,20,0,0
mechanic,20,0,0
cake,20,0,0
baker,20,0,0
honey,20,0,0
ship,20,1,0
lamp,20,0,0
book,20,0,0
beach,20,0,0
ball,20,0,0
letter,20,0,0
desert,20,0,0
builder,20,0,0
dragon,20,0,0
axe,20,0,0
milk,20,0,1
granny,20,1,1
woman,20,1,1
hands,20,0,1
river,20,1,1
house,20,0,1
lion,20,1,1
computer,20,0,1
clown,20,1,1
scissors,20,1,1
girl,20,1,1
hammer,20,0,1
barn,20,0,1
bag,20,1,1
santa,20,0,1
teacher,20,0,1
boy,20,1,1
restaurant,20,0,1
castle,20,0,1
waitress,20,1,1
cheese,20,1,1
sheep,20,1,1
horse,20,0,1
beer,20,1,1
pencil,20,1,1
fly,20,1,1
tree,20,0,1
circus,20,1,1
pie,20,1,1
airplane,20,1,1
mouse,20,1,1
man,20,1,1
paper,20,0,2
witch,20,0,2
cow,20,1,2
student,20,1,2
child,20,1,2
car,20,1,2
doctor,20,0,2
shoes,20,2,3
coffee,20,3,3
crown,20,1,3
chef,20,0,3
pilot,20,0,3
dog,20,2,3
bed,20,1,4
cat,20,3,5
king,20,2,7
camel,30,0,0
beak,30,0,0
chicken,30,0,0
pumpkin,30,0,0
plate,30,0,0
bear,30,0,0
vase,30,0,0
cage,30,0,0
bank,30,0,0
gift,30,0,0
candy,30,0,0
garage,30,0,0
bone,30,0,0
fish,30,0,0
spider,30,0,0
candle,30,1,0
bee,30,0,0
postman,30,0,0
bird,30,0,0
knife,30,0,0
table,30,0,0
key,30,0,0
apple,30,0,0
feet,30,0,0
church,30,0,0
boat,30,0,0
monkey,30,0,0
leash,30,1,0
frog,30,0,0
drugstore,30,0,0
rabbit,30,0,0
mechanic,30,0,0
baker,30,0,0
honey,30,0,0
ship,30,1,0
beach,30,0,0
ball,30,0,0
desert,30,0,0
builder,30,0,0
axe,30,0,0
milk,30,1,1
granny,30,1,1
woman,30,1,1
hands,30,1,1
school,30,0,1
river,30,1,1
house,30,0,1
computer,30,0,1
clown,30,1,1
scissors,30,1,1
girl,30,1,1
hammer,30,1,1
barn,30,0,1
flower,30,0,1
bag,30,1,1
santa,30,0,1
boy,30,1,1
restaurant,30,0,1
castle,30,0,1
waitress,30,1,1
cheese,30,1,1
sheep,30,1,1
horse,30,0,1
hospital,30,0,1
pencil,30,1,1
baby,30,0,1
fly,30,1,1
cake,30,1,1
circus,30,1,1
airplane,30,1,1
mouse,30,1,1
lamp,30,0,1
