Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
airplane-pilot,88,0.9147213101387024,0.862544059753418,0.838908851146698,-0.4693748950958252,-0.5602341890335083
airplane-flight,77,0.8570283055305481,0.7813861966133118,0.817811906337738,-0.35463976860046387,-0.4402972459793091
airplane-sky,61,0.7908378839492798,0.6418985724449158,0.2583783268928528,-0.5766353607177734,-0.6094375848770142
airplane-cloud,41,0.8965855836868286,0.8173540234565735,0.19686074554920197,-0.8033846616744995,-0.7955935001373291
airplane-airport,41,0.7383215427398682,0.6193616986274719,0.3440077006816864,-0.4766155481338501,-0.5113277435302734
airplane-travel,32,0.8117688894271851,0.6427655220031738,0.4929332137107849,-0.4374195337295532,-0.5369580388069153
airplane-wings,30,0.8905929327011108,0.7517503499984741,0.5914966464042664,-0.5280160903930664,-0.6060859560966492
airplane-passenger,24,0.9099211692810059,0.852994441986084,0.5834450721740723,-0.700917661190033,-0.6381341218948364
airplane-food,18,0.6898200511932373,0.4934025704860687,0.12969385087490082,-0.48127204179763794,-0.5636932253837585
airplane-seats,17,0.7391791939735413,0.5958853960037231,0.3410376310348511,-0.44062715768814087,-0.5274323225021362
airplane-runway,15,0.9612611532211304,0.8967412114143372,0.5850968956947327,-0.828145444393158,-0.7706286907196045
airplane-luggage,14,0.9443737864494324,0.8313831686973572,-0.11360414326190948,-0.9323004484176636,-0.8741732239723206
apple-tree,73,0.5618196725845337,0.3911377787590027,-0.006156841292977333,-0.44169002771377563,-0.5227203965187073
apple-red,40,0.4565083384513855,0.32373398542404175,0.04239621013402939,-0.32234638929367065,-0.3676809072494507
apple-pie,37,0.6705982685089111,0.5987326502799988,-0.2561199963092804,-0.7555333375930786,-0.6980723738670349
apple-orange,32,0.684177041053772,0.582131028175354,0.23906904458999634,-0.4422062933444977,-0.42019790410995483
apple-fruit,32,0.575542151927948,0.39794954657554626,-0.03494211286306381,-0.49268603324890137,-0.5442867279052734
apple-worm,29,0.7232406735420227,0.7109638452529907,0.18557724356651306,-0.6548448204994202,-0.6476392149925232
apple-banana,24,0.6548416614532471,0.5835489630699158,-0.08369498699903488,-0.6478497982025146,-0.6835134625434875
apple-core,23,0.6959998607635498,0.5520086884498596,0.21079246699810028,-0.4299318790435791,-0.47967275977134705
apple-teacher,22,0.6243693232536316,0.551562488079071,0.21539030969142914,-0.37891578674316406,-0.3871913552284241
apple-seeds,21,0.6268990635871887,0.48434990644454956,0.010038838721811771,-0.5203889608383179,-0.5748247504234314
apple-green,19,0.5386530756950378,0.4457904100418091,0.047475263476371765,-0.4809747040271759,-0.41660499572753906
apple-orchard,18,0.6456405520439148,0.6198257207870483,-0.3315056264400482,-0.7561593055725098,-0.7125075459480286
apple-juice,17,0.5908292531967163,0.5749801397323608,-0.2966061234474182,-0.7567551136016846,-0.6933936476707458
apple-autumn,16,0.7284355163574219,0.5211812853813171,0.2553050220012665,-0.3513323664665222,-0.45552384853363037
apple-leaf,14,0.6740491390228271,0.5644197463989258,-0.019587410613894463,-0.6655766367912292,-0.5976951718330383
axe-tree,141,0.736524224281311,0.49923476576805115,-0.029450897127389908,-0.5481020212173462,-0.7083442807197571
axe-wood,137,0.6984327435493469,0.554002583026886,0.20532315969467163,-0.48286744952201843,-0.6274067759513855
axe-fire,30,0.7170678973197937,0.44823262095451355,0.23203019797801971,-0.37273573875427246,-0.6166635751724243
axe-metal,25,0.6929727792739868,0.43842360377311707,0.1758165955543518,-0.3944568634033203,-0.6010847091674805
axe-murderer,21,0.9214038252830505,0.8763217926025391,0.1366782933473587,-0.8839223980903625,-0.8727513551712036
axe-cutting,20,0.8381913900375366,0.7781514525413513,0.1135210171341896,-0.7722271680831909,-0.7878938317298889
