Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
new-ancient,0,0.184102773666,-0.065484046936,-0.0596095359093,-0.303971171379,0.0829365849495
shrink-grow,0,0.664421916008,-0.0237483210116,0.32742132708,-0.113451554683,0.150171265006
dirty-narrow,0.029258098,0.279558556054,0.099824014327,0.0825575739145,-0.0497430682335,-0.160622864962
hole-agreement,0.029258098,0.0523290218311,0.0340698733926,-0.0125705301762,-0.159837022424,0.0500609494782
island-task,0.029258098,0.17717270119,0.0310317631681,0.0365986935794,-0.0150912636573,-0.12922639425
chapter-tail,0.029258098,0.0583607852459,-0.0536810415197,0.0132773100866,-0.0893905216092,0.113970145583
gun-fur,0.029258098,0.147963911295,-0.18305966258,-0.143728175385,-0.29649835825,0.0419510640204
cliff-tail,0.029258098,0.317349124989,-0.111455635044,0.148630869552,-0.0498020782831,0.194908118855
ankle-window,0.029258098,0.326366811991,0.0294274987963,0.180215727104,0.0199828334153,-0.00710718248997
princess-island,0.029258098,0.214152482996,-0.326166679035,0.00875062320389,-0.133303054172,0.261648849347
container-mouse,0.029258098,0.284304112196,0.235024899244,0.250705122948,-0.0331040844321,-0.00776525586843
bad-great,0.05015674,0.492314577103,-0.0728663100521,0.197459191084,0.014904268086,-0.0622770376371
terrific-mad,0.071055381,0.458091792947,-0.0784378424287,0.0869982890486,-0.213069839064,-0.0105659402907
fresh-wide,0.071055381,0.304753363132,-0.120017870964,0.146003842354,0.0313917640681,0.0950301364064
absence-presence,0.071055381,0.64442597098,0.0289343500992,0.37122002244,0.164614722133,-0.00683021318434
belief-flower,0.071055381,0.134928629986,-0.212422711398,-0.0695184022188,0.117966464814,-0.164816523481
endurance-band,0.071055381,0.0945480689406,-0.241665289303,0.0359653750401,0.269988314509,-0.0587054868096
flower-endurance,0.071055381,0.0612345895907,0.0252374172069,0.122417494655,-0.0484167904605,0.16466904668
cent-size,0.071055381,0.184196770191,0.0194384094738,0.219744725212,0.11639063009,0.117261216044
liquor-century,0.071055381,0.11041930976,-0.0686574719957,0.0996654033661,0.00397640536121,0.16051286459
hymn-straw,0.071055381,0.157404685462,-0.00409678556025,0.182241793409,0.314692009371,-0.0738661438227
dentist-colonel,0.071055381,0.302267748253,-0.0948231947317,0.152306729693,-0.110335006436,0.179144393155
wife-straw,0.071055381,0.102647769136,-0.102261978118,0.135735966905,0.276054617637,-0.00680994161249
rice-boy,0.071055381,0.142524787338,0.0842313021421,0.279534220695,-0.0801067352295,0.420198972237
dollar-people,0.071055381,0.234206481827,0.0692989942014,0.0620217323303,-0.10620983578,-0.0905158126662
bath-balloon,0.071055381,0.323406151127,0.0381775908172,0.326227754354,0.247427150914,0.15322317183
stomach-bedroom,0.071055381,0.404149139175,0.128306776285,0.295902431011,0.196295496601,-0.143684953451
bicycle-bedroom,0.071055381,0.250125318766,-0.049715436995,-0.0182672478259,0.0281240921468,-0.260456979275
log-bath,0.071055381,0.179450654453,-0.0662913063938,0.18575949584,0.314004719257,-0.0223446698579
ignore-explore,0.071055381,0.497237145901,-0.0795870619766,0.122197136283,-0.212415186311,0.00582639314234
remind-sell,0.071055381,0.367648601532,0.00277124408387,0.181890885943,0.00362746439144,0.0583046898246
dumb-rare,0.104493208,0.212281403678,0.0579663073461,0.106209263206,-0.152089458455,0.0784666808526
huge-dumb,0.104493208,0.264018267393,0.0963347835144,0.241682991385,0.00063893571496,0.0648746082112
large-flexible,0.104493208,0.511292755604,-0.118276156485,0.171359117112,0.298178642988,-0.357673466206
chapter-choice,0.104493208,0.221952868816,0.166886031628,0.274121211417,0.139698043466,0.121389396273
trick-size,0.104493208,0.157742882236,-0.138719850106,0.00252029113472,-0.0575835885207,0.0436029881239
condition-boy,0.104493208,0.220294756907,0.106915973127,0.350407272577,0.163408875465,0.232522829325
doctor-temper,0.104493208,0.352912425995,-0.0333736782297,0.288968878327,0.209150058576,0.114014551044
presence-door,0.104493208,0.216893442418,0.053285307633,0.195021152496,-0.0578270706339,0.227874967113
mouse-management,0.104493208,0.102077394724,0.259380221367,0.0870901271701,0.0696417689323,-0.261623978615
task-highway,0.104493208,0.164191007614,0.0200959630311,0.197717484696,0.00700548663735,0.196643292904
night-chapter,0.104493208,0.233375817537,-0.0846343114972,0.209826288213,0.0866976380348,0.203957498074
gun-trick,0.104493208,0.357885680073,0.100275181234,0.394624710083,0.078342422843,0.32512130291
bath-wife,0.104493208,0.194561673507,0.0775702652251,0.0654712989926,-0.0706651265824,-0.0743733332308
people-cent,0.104493208,0.128670133869,-0.0265367270432,0.197882246845,0.26409407044,-0.00412691409152
camera-president,0.104493208,0.0828912158544,-0.15692409873,-0.244920730591,-0.0302369240068,-0.310530543327
deck-mouse,0.104493208,0.244197785854,0.177772964702,0.200881373935,-0.0362349525094,0.0010524299623
people-balloon,0.104493208,0.156557211671,-0.235365911446,-0.0178687982261,0.18425960447,-0.140925371106
bowl-tail,0.104493208,0.299364173488,0.080596673155,0.154893469227,0.045870666452,-0.111207226073
give-steal,0.112852665,0.59123724699,0.0744858742373,0.3143705317,-0.00918994471431,-0.106549980456
easy-tough,0.121212121,0.534442901611,-0.0123829625477,0.274955031281,0.24595324671,-0.307861804962
smart-dumb,0.133751306,0.517213582993,-0.0403281338513,0.280216034625,-0.0824670940638,0.169278919697
dull-funny,0.133751306,0.662145099128,-0.00513788715827,0.243381276727,-0.22483806612,-0.00548832830856
spend-save,0.133751306,0.488304465312,0.177174955606,0.271388411522,-0.207525757404,-0.0113847348839
easy-difficult,0.146290491,0.779361605644,0.191068984143,0.347693580664,-0.145250556439,-0.302985548973
sly-tough,0.146290491,0.348783254623,0.0394297414678,0.441055357456,0.211011064709,0.395192652941
bath-trick,0.146290491,0.175546263126,0.119279243052,0.247211664915,0.251917451392,-0.0114664125571
cent-wife,0.146290491,0.123430215009,-0.0653106566893,0.165138641902,-0.0232682163098,0.274261471717
course-stomach,0.146290491,0.18640357635,-0.0781057104468,0.0474148876965,-0.179669969717,0.171875174157
woman-fur,0.146290491,0.281104790038,0.0629220791413,-0.156182536851,-0.395595633721,-0.225777803408
apple-sunshine,0.146290491,0.28482336221,-0.142980992794,0.0343659263093,0.000759713442291,-0.0695288255811
sharp-dull,0.154649948,0.63662391901,-0.0119333278726,0.270898282528,0.0764870854891,-0.170472491867
tiny-huge,0.154649948,0.57570371483,-0.0263743155524,0.162831718494,-0.0851300311244,-0.181779637933
unnecessary-necessary,0.167189133,0.747191905975,-0.127677932062,0.339327007532,0.0453347956735,0.040173817426
forget-retain,0.167189133,0.353255748749,-0.0317462646063,0.148207426071,-0.0468535069351,0.0460096560419
create-destroy,0.167189133,0.512524306774,-0.116250008345,0.196948125958,-0.093207962811,0.107286348939
bad-terrific,0.175548589,0.642049768093,-0.0101495577484,0.314511656761,0.10537211597,-0.154865462168
nice-cruel,0.183908046,0.411479527442,0.006090939408,0.238573476672,0.274181279442,-0.168954670429
hymn-conquest,0.188087774,0.17551958117,0.0319571904838,0.0488356612623,-0.181384961688,0.0605347678065
fraternity-door,0.188087774,0.141191895916,0.177063103143,0.175797596574,0.02915664961,0.00194592750717
task-woman,0.188087774,0.243778004871,0.0895645969847,0.0210933722556,-0.235905184502,-0.0575294230896
task-straw,0.188087774,0.194942906499,0.11895916611,0.226892604047,0.147127598524,0.0333290137351
pollution-president,0.188087774,0.0120837148279,0.0422397218645,-0.12684944272,-0.169752538204,-0.110805980861
hole-wife,0.188087774,0.053652078968,-0.239282251682,-0.0215187780559,-0.0139273798254,0.161015595673
liquor-band,0.188087774,0.144496494204,0.164183015477,0.27953660136,0.199682408533,0.107226595283
worker-camera,0.188087774,0.243556990835,-0.0256248787045,-0.0749024048389,-0.207189679146,-0.145464220373
people-gun,0.188087774,0.172596837437,-0.248777821587,0.0246369000524,0.249449327555,-0.126123212345
enter-owe,0.188087774,0.305021577475,-0.124505281419,0.129769578576,0.0591919720173,0.0444931286876
bottom-top,0.196447231,0.718553407106,-0.00870066508651,0.490183590672,0.231314182281,0.141202622128
weird-normal,0.204806688,0.302704560918,-0.0062133235835,0.148028671741,-0.212540626526,0.195807748533
modern-ancient,0.208986416,0.58297175169,-0.0405137674817,0.144398712778,-0.212809503078,-0.0577259023622
dumb-intelligent,0.217345873,0.548868060112,0.00774156861007,0.297035545111,0.0250956378877,-0.0223527885973
agree-argue,0.225705329,0.722658856074,-0.0607760623097,0.430522705944,0.187165662646,0.159185180615
find-disappear,0.225705329,0.597199320793,-0.0865955547576,0.186564542465,-0.0577812343836,-0.103554288619
lose-get,0.225705329,0.636849202922,-0.133831679821,0.321383357048,0.200898081064,-0.0725798426616
pupil-president,0.229885057,0.149272054434,-0.0543285682797,0.105746991932,0.059476878494,0.0355273932219
portray-notify,0.229885057,0.212344929576,0.322520911694,0.402952134609,0.298623085022,0.197103947401
accept-reject,0.250783699,0.817826558222,-0.0994846075773,0.400904417038,-0.119202226055,0.158052265644
succeed-fail,0.250783699,0.566719949245,-0.0248892396622,0.219880459898,0.0195850890628,-0.115032553673
old-fresh,0.267502612,0.297520595641,-0.281733363867,-0.0366193987429,0.188676517527,-0.272921830416
difficult-simple,0.267502612,0.562277197838,0.727986964227,0.541501760483,-0.133699864149,-0.250819831989
car-hose,0.267502612,0.430854924815,0.0506252334267,0.194379538298,0.0558738451675,-0.150710248989
remind-forget,0.267502612,0.71635478735,0.153623878956,0.474346488714,0.0874373018742,0.128746986389
fraternity-baseball,0.271682341,0.353492545665,-0.047620087862,0.199689939618,0.0238643036646,0.0421143248677
couch-baseball,0.271682341,0.225770175457,0.016085040783,0.128932424124,-0.0684680938721,0.102207160128
give-know,0.271682341,0.564542114735,0.0635143033556,0.264906166207,-0.0388895035618,-0.10313685499
bed-hospital,0.288401254,0.4933565557,-0.178115978837,0.104454683726,-0.118776619434,0.0235542990267
destroy-construct,0.288401254,0.465622603893,0.105621814728,0.242846072573,-0.0311670824885,-0.0629292204976
forget-know,0.288401254,0.843814909458,0.0286531465443,0.473648253244,0.0722715078158,0.07924041152
hard-easy,0.300940439,0.721804738045,-0.14013800025,0.140538639394,-0.344974368811,-0.00924424827099
happy-mad,0.300940439,0.537365376949,-0.213980276706,0.157035851898,-0.250793576241,0.225733372482
sad-funny,0.300940439,0.676111181014,-0.146674275398,0.250578969717,-0.231317682941,0.18109185325
car-bridge,0.300940439,0.274076445456,0.0659387150966,0.0634904205799,-0.157914321671,-0.0612019671442
leave-enter,0.300940439,0.668025076389,-0.0458744679913,0.336333066225,0.194054212812,-0.179036334157
brother-soul,0.309299896,0.245437070455,0.0842385292053,0.252821683884,0.180200468314,0.102094009519
